ZNF285,ZNF674
ZNF224,ZNF550
ZIM2,ZNF432
ZNF2,ZNF10
ZNF8,ZNF486
ZNF487,ZNF225
MXI1,ZNF285
MYC,ZNF224
ZEB1,ZIM2
REST,ZNF2
CTCFL,ZNF8
E2F6,ZNF487
PBX3,MXI1
STAT1,MYC
STAT3,ZEB1
STAT2,REST
THAP1,CTCFL
TP73,E2F6
HIF1A,PBX3
TWIST1,STAT1
MITF,STAT3
KLF9,STAT2
ZNF24,THAP1
NFYA,TP73
TFDP1,HIF1A
FOXK2,TWIST1
FOXH1,MITF
GRHL2,KLF9
PBX2,ZNF24
DUX4,NFYA
IRF1,TFDP1
MYB,FOXK2
ESR2,FOXH1
HNF4G,GRHL2
NR2F2,PBX2
RELB,DUX4
SOX13,IRF1
TCF7L2,MYB
NFYB,ESR2
BACH1,HNF4G
SIX5,NR2F2
TBP,RELB
ZNF416,SOX13
ZNF574,TCF7L2
ZNF41,NFYB
ZNF653,BACH1
ZNF35,SIX5
ZNF16,TBP
ZNF692,ZNF416
ZFP3,ZNF574
ZNF322,ZNF41
ZNF467,ZNF653
ZSCAN22,ZNF35
ZNF71,ZNF16
ZFP64,ZNF692
PRDM6,ZFP3
ZNF37A,ZNF322
ZNF586,ZNF467
MYNN,ZSCAN22
ZNF213,ZNF71
PATZ1,ZFP64
MAZ,PRDM6
ZNF175,ZNF37A
KLF7,ZNF586
GTF3A,MYNN
ZNF436,ZNF213
FEZF1,PATZ1
ZNF341,MAZ
ZNF394,ZNF175
IKZF3,KLF7
ZNF513,GTF3A
ZNF22,ZNF436
ZNF146,FEZF1
ZNF280A,ZNF341
ZNF768,ZNF394
ZNF554,IKZF3
ZNF596,ZNF513
ZBTB42,ZNF22
ZNF594,ZNF146
ZNF329,ZNF280A
ZBTB6,ZNF768
ZSCAN30,ZNF554
ZNF490,ZNF596
ZNF563,ZBTB42
ZNF34,ZNF594
ZNF774,ZNF329
ZNF502,ZBTB6
ZFP28,ZSCAN30
ZNF98,ZNF490
ZNF677,ZNF563
ZNF121,ZNF34
ZNF770,ZNF774
ZSCAN5C,ZNF502
ZBTB48,ZFP28
ZNF134,ZNF98
GLI4,ZNF677
ZNF260,ZNF121
ZNF350,ZNF770
ZNF595,ZSCAN5C
INSM1,ZBTB48
ARID5B,ZNF134
LYL1,GLI4
AHR,ZNF260
EPAS1,ZNF350
ARNT,ZNF595
TAL1,INSM1
NFE2L2,ARID5B
ATF1,LYL1
ZFX,AHR
MECOM,EPAS1
SALL4,ARNT
KLF8,TAL1
ZBTB17,NFE2L2
PRDM14,ATF1
IKZF1,ZFX
ZNF335,MECOM
E2F5,SALL4
FOXM1,KLF8
LHX3,ZBTB17
NKX2-1,PRDM14
NKX6-1,IKZF1
MBD2,ZNF335
MECP2,E2F5
NR1H3,FOXM1
PPARA,LHX3
TP53,NKX2-1
RUNX1,NKX6-1
AIRE,MBD2
SMAD4,MECP2
STAT5A,NR1H3
STAT4,PPARA
STAT6,TP53
STAT5B,RUNX1
THAP11,AIRE
NFYC,SMAD4
ZNF711,STAT5A
ARID3A,STAT4
HMGA1,STAT6
HMGA2,STAT5B
MYF5,THAP11
NFE2L3,NFYC
ATF5,ZNF711
DDIT3,ARID3A
ZEB2,HMGA1
HIVEP2,HMGA2
IKZF2,MYF5
ZBTB11,NFE2L3
ZNF423,ATF5
ZBTB16,DDIT3
ZNF541,ZEB2
GZF1,HIVEP2
ZSCAN10,IKZF2
PRDM12,ZBTB11
ZNF236,ZNF423
PRDM15,ZBTB16
PRDM16,ZNF541
ZNF761,GZF1
ZNF148,ZSCAN10
ZNF589,PRDM12
ZNF219,ZNF236
SALL2,PRDM15
E4F1,PRDM16
SP7,ZNF761
ZNF581,ZNF148
ZNF217,ZNF589
ZFP92,ZNF219
ZSCAN26,SALL2
ZNF628,E4F1
ZNF521,SP7
SP5,ZNF581
ZNF316,ZNF217
ZNF705E,ZFP92
ZNF727,ZSCAN26
ZNF735,ZNF628
ZNF883,ZNF521
ZNF718,SP5
ZNF658,ZNF316
SATB1,ZNF705E
CXXC1,ZNF727
EBF4,ZNF735
EBF3,ZNF883
EBF2,ZNF718
FOXF1,ZNF658
FOXN1,SATB1
FOXJ1,CXXC1
FOXD4L4,EBF4
TRPS1,EBF3
GTF2IRD1,EBF2
GTF2I,FOXF1
HOXA3,FOXN1
NKX2-2,FOXJ1
SETDB1,FOXD4L4
MTERF1,TRPS1
CDC5L,GTF2IRD1
SMAD9,GTF2I
SMAD1,HOXA3
HBP1,NKX2-2
SOX11,SETDB1
TBX22,MTERF1
LTF,CDC5L
DNTTIP1,SMAD9
POU2AF1,SMAD1
CEBPZ,HBP1
GTF2B,SOX11
CARF,TBX22
SPZ1,LTF
NR0B1,DNTTIP1
BPTF,POU2AF1
PURA,CEBPZ
TOPORS,GTF2B
NFE4,CARF
ADNP,SPZ1
